"id","class_id","instructor","section_id","section_type","meeting_time","start_time","end_time","location","course_id","day"
4925,87029,"Daniel M Cavanagh","032                 ","IND                 ","08/27/2015 - 12/09/2015",,,"TBA",172,"TBA"
4926,82589,"Micah Hayes","001                 ","IND                 ","08/27/2015 - 12/09/2015",,,"TBA",173,"TBA"
4927,82590,"Jing Ling Tam","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",174,"TBA"
4928,82591,"Soo Hong Kim","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",174,"TBA"
4929,82592,"David C Grogan","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",174,"TBA"
4930,82593,"Ronald B Montgomery","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",174,"TBA"
4931,89398,"Jennifer O Ciobanu","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",174,"TBA"
4932,82594,"Jing Ling Tam","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",175,"TBA"
4933,82595,"Soo Hong Kim","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",175,"TBA"
4934,82596,"David C Grogan","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",175,"TBA"
4935,82597,"Ronald B Montgomery","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",175,"TBA"
4936,82598,"John Solomons","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",176,"TBA"
4937,82599,"Young-Hyun Cho","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",176,"TBA"
4938,82600,"John Solomons","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",177,"TBA"
4939,82601,"Young-Hyun Cho","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",177,"TBA"
4940,82602,"Martha Walvoord","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",178,"TBA"
4941,82603,"Cathy Forbes","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",178,"TBA"
4942,82604,"Keira Fullerton","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",178,"TBA"
4943,82605,"Jack A Unzicker","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",178,"TBA"
